"","dates","titles","push","id","topic","theme","score","score2"
"46",2017-07-08,"Re: [新聞] 一例一休 柯P：若大家認為窒礙難行應修法",5,"M.1499493497.A.EE9","勞基法修法","政治",0.5,0.5
"47",2017-07-08,"[新聞] 【獨家】勞動部違法雇主查詢系統　預計12",10,"M.1499509670.A.0DB","勞基法修法","政治",0.5,0.5
"48",2017-07-08,"Re: [新聞]【獨家】勞動部違法雇主查詢系統　預計12",5,"M.1499513244.A.B96","勞基法修法","政治",0.5,0.5
"49",2017-07-08,"[新聞] 《勞基法》黑榜年度排行出爐 家樂福最血",20,"M.1499523138.A.F4D","勞基法修法","政治",0.5,0.5
"50",2017-07-08,"Re: [爆卦] 亞東醫院：勞資鐘點戰 血汗上映中!!",0,"M.1499523181.A.C73","勞基法修法","政治",0.1,0.1
"51",2017-07-09,"Re: [新聞] 《勞基法》黑榜年度排行出爐 家樂福最血",3,"M.1499565291.A.FDF","勞基法修法","政治",0.5,0.5
"52",2017-07-09,"Re: [新聞] 賴清德：一例一休應該修法 ",1,"M.1499568273.A.133","勞基法修法","政治",0.5,0.5
"53",2017-07-09,"[新聞]台南也有很多反彈 賴清德：一例一休應修法",-1,"M.1499570871.A.E07","勞基法修法","政治",0.1,0.1
"54",2017-07-09,"Re: [新聞]台南也有很多反彈 賴清德：一例一休應修法",-1,"M.1499571266.A.D8D","勞基法修法","政治",0.1,0.1
"55",2017-07-09,"Re: [新聞] 《勞基法》黑榜年度排行出爐 家樂福最血",2,"M.1499572973.A.C5E","勞基法修法","政治",0.5,0.5
"56",2017-07-09,"Re: [爆卦] 亞東醫院：勞資鐘點戰 血汗上映中!!",0,"M.1499573179.A.EFD","勞基法修法","政治",0.1,0.1
"57",2017-07-11,"[新聞] 國定假日出勤 勞動部：加發1日工資不須",-5,"M.1499780544.A.637","勞基法修法","政治",0.1,0.1
"58",2017-07-11,"[問卦] 有保勞保但不適用勞基法的卦嗎？",2,"M.1499788484.A.097","勞基法修法","政治",0.5,0.5
"59",2017-07-12,"[問卦] 如果違反勞基法檢舉有檢舉獎金會致富嗎?",2,"M.1499809631.A.55E","勞基法修法","政治",0.5,0.5
"60",2017-07-12,"[新聞] 一例一休爭議 林佳龍：支持適當修法",0,"M.1499833725.A.841","勞基法修法","政治",0.1,0.1
"61",2017-07-12,"[新聞] 亞東醫院違反勞基法 恐被裁罰上百萬元",21,"M.1499836249.A.FC8","勞基法修法","政治",0.5,0.5
"62",2017-07-12,"[新聞] 一例一休爭議 林佳龍：支持適當修法",1,"M.1499843673.A.734","勞基法修法","政治",0.5,0.5
"63",2017-07-12,"Re: [新聞] 一例一休爭議 林佳龍：支持適當修法",-1,"M.1499844454.A.634","勞基法修法","政治",0.1,0.1
"64",2017-07-12,"[新聞] 基本工資審議委員爆：勞動部次長「勸說」",0,"M.1499852871.A.603","勞基法修法","政治",0.1,0.1
"65",2017-07-13,"[問卦] 小精靈有符合勞基法嗎",1,"M.1499933156.A.0AE","勞基法修法","政治",0.5,0.5
"66",2017-07-14,"[問卦] 有聯合報違反勞基法的卦嗎？",4,"M.1500022499.A.8F4","勞基法修法","政治",0.5,0.5
"67",2017-07-14,"[新聞] 一例一休挨批導因於勞基法太複雜？蔡英",-8,"M.1500043003.A.506","勞基法修法","政治",0.1,0.1
"68",2017-07-15,"[新聞] 七休一無彈性 人事成本增3倍 旅行業︰團",-3,"M.1500084866.A.041","勞基法修法","政治",0.1,0.1
"69",2017-07-15,"[新聞] 一例一休修法？ 總統：再研究討論",-10,"M.1500089799.A.C33","勞基法修法","政治",0.1,0.1
"70",2017-07-15,"[新聞] 七休一無彈性 人事成本增3倍 旅行業︰團",0,"M.1500092135.A.D63","勞基法修法","政治",0.1,0.1
"71",2017-07-15,"[新聞] 旅行業無法用4周彈性工時　勞動部：討論",1,"M.1500094294.A.A04","勞基法修法","政治",0.5,0.5
"72",2017-07-15,"[新聞] 勞動部薪資大調查 醫師竟然沒進前三名",15,"M.1500099005.A.68D","勞基法修法","政治",0.5,0.5
"73",2017-07-17,"[新聞] 勞動部帶頭違法 勞工待宰羔羊",3,"M.1500257775.A.F44","勞基法修法","政治",0.5,0.5
"74",2017-07-17,"[新聞] 勞動部薪資大調查 醫師竟然沒進前三名",27,"M.1500259292.A.16B","勞基法修法","政治",0.5,0.5
"75",2017-07-17,"Re: [新聞] 勞動部薪資大調查 醫師竟然沒進前三名",0,"M.1500267971.A.41E","勞基法修法","政治",0.1,0.1
"76",2017-07-17,"[新聞] 蔡英文看不懂勞基法 林美珠緩頰：術業有",-73,"M.1500279926.A.7B0","勞基法修法","政治",0.1,0.1
"77",2017-07-17,"Re: [新聞] 蔡英文看不懂勞基法 林美珠緩頰：術業有",10,"M.1500280306.A.1F5","勞基法修法","政治",0.5,0.5
"78",2017-07-17,"Re: [新聞] 蔡英文看不懂勞基法 林美珠緩頰：術業有",2,"M.1500281076.A.C73","勞基法修法","政治",0.5,0.5
"79",2017-07-17,"Re: [新聞] 蔡英文看不懂勞基法 林美珠緩頰：術業有",1,"M.1500289281.A.B11","勞基法修法","政治",0.5,0.5
"80",2017-07-17,"Re: [新聞] 蔡英文看不懂勞基法 林美珠緩頰：術業有",0,"M.1500289661.A.763","勞基法修法","政治",0.1,0.1
"81",2017-07-17,"[新聞] 勞基法是否修法 林美珠：立委逼我",-2,"M.1500290712.A.378","勞基法修法","政治",0.1,0.1
"82",2017-07-17,"[新聞] 一例一休公聽會 林美珠：沒修法打算",14,"M.1500295005.A.71C","勞基法修法","政治",0.5,0.5
"83",2017-07-18,"[新聞] 一例一休公聽會 勞動部長好冷漠！林美珠",2,"M.1500349046.A.1DE","勞基法修法","政治",0.5,0.5
"84",2017-07-18,"[新聞] 郵差月薪高達22.2萬元？勞動部回應了",8,"M.1500351900.A.503","勞基法修法","政治",0.5,0.5
"85",2017-07-22,"[問卦] 高雄真得薪資很低？？？都沒照勞基法嗎？",-1,"M.1500731782.A.59B","勞基法修法","政治",0.1,0.1
"86",2017-07-23,"[問卦] 一例一休修法回一例  7天假會回來嗎？",5,"M.1500777250.A.CB2","勞基法修法","政治",0.5,0.5
"87",2017-07-23,"Re: [問卦] 一例一休修法回一例  7天假會回來嗎？",-14,"M.1500803348.A.808","勞基法修法","政治",0.1,0.1
"88",2017-07-23,"Re: [問卦] 一例一休修法回一例  7天假會回來嗎",37,"M.1500813348.A.D50","勞基法修法","政治",0.5,0.5
"89",2017-07-23,"Re: [問卦] 一例一休修法回一例  7天假會回來嗎",0,"M.1500822349.A.7C9","勞基法修法","政治",0.1,0.1
"90",2017-07-24,"[問卦] 勞基法還有進步空間？",6,"M.1500833609.A.06F","勞基法修法","政治",0.5,0.5
"91",2017-07-24,"Re: [問卦] 勞基法還有進步空間？",2,"M.1500834955.A.1C0","勞基法修法","政治",0.5,0.5
"92",2017-07-26,"[問卦] 彰化是不是也沒勞基法啊？",12,"M.1501038456.A.4EB","勞基法修法","政治",0.5,0.5
"93",2017-07-26,"[新聞] 一例一休修法 最快下會期處理",-21,"M.1501064687.A.2BF","勞基法修法","政治",0.1,0.1
"94",2017-07-26,"[新聞] 颱風天休假入勞基法 綠委：太硬了缺乏勞",-8,"M.1501069110.A.D94","勞基法修法","政治",0.1,0.1
"95",2017-07-26,"[新聞] 一例一休爭議 民進黨團：下會期提案修法 ",0,"M.1501073890.A.C16","勞基法修法","政治",0.1,0.1
"96",2017-07-27,"[新聞] 一例一休 擬下會期修法",-2,"M.1501111383.A.DE6","勞基法修法","政治",0.1,0.1
"97",2017-07-27,"Re: [新聞] 一例一休 擬下會期修法",8,"M.1501111971.A.135","勞基法修法","政治",0.5,0.5
"98",2017-07-27,"[新聞] 一例一休爭議 民進黨團：下會期提案修法",-21,"M.1501112761.A.124","勞基法修法","政治",0.1,0.1
"99",2017-07-27,"[問卦] 有沒有瑞儀光電符合勞基法的卦？",0,"M.1501124630.A.820","勞基法修法","政治",0.1,0.1
"100",2017-07-27,"[問卦] 日本勞基法",1,"M.1501136190.A.395","勞基法修法","政治",0.5,0.5
"101",2017-07-27,"[新聞] 一例一休提案修法有望？ 勞動部：仍須再",-6,"M.1501163627.A.9DD","勞基法修法","政治",0.1,0.1
"102",2017-07-28,"[新聞] 無視勞基法？花市業者成「血汗勞工」",12,"M.1501217587.A.14A","勞基法修法","政治",0.5,0.5
"103",2017-07-28,"[新聞] 台鐵懲處春節曠職 勞動部裁決：不算打壓",-27,"M.1501223090.A.93D","勞基法修法","政治",0.1,0.1
"104",2017-07-28,"[新聞] 台鐵懲處春節曠職 勞動部裁決：不算打壓",0,"M.1501235465.A.B0D","勞基法修法","政治",0.1,0.1
"105",2017-07-28,"[新聞] 移工權益受損要陳情 勞動部竟恫嚇遣返",16,"M.1501236004.A.E26","勞基法修法","政治",0.5,0.5
"106",2017-07-28,"Re: [新聞] 移工權益受損要陳情 勞動部竟恫嚇遣返",-3,"M.1501236818.A.42B","勞基法修法","政治",0.1,0.1
"107",2017-07-28,"Re: [新聞] 移工權益受損要陳情 勞動部竟恫嚇遣返",2,"M.1501241654.A.699","勞基法修法","政治",0.5,0.5
"108",2017-07-28,"[新聞] 勞動部鬆綁　外籍白領配偶今起可兼職",1,"M.1501256153.A.D9A","勞基法修法","政治",0.5,0.5
"109",2017-07-28,"Re: [新聞] 勞動部鬆綁　外籍白領配偶今起可兼職",-1,"M.1501256665.A.B48","勞基法修法","政治",0.1,0.1
"110",2017-07-28,"Re: [新聞] 勞動部鬆綁　外籍白領配偶今起可兼職",1,"M.1501257241.A.1E8","勞基法修法","政治",0.5,0.5
"111",2017-07-29,"[新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",-57,"M.1501258181.A.A27","勞基法修法","政治",0.1,0.1
"112",2017-07-29,"Re: [新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",2,"M.1501258437.A.3A1","勞基法修法","政治",0.5,0.5
"113",2017-07-29,"Re: [新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",-14,"M.1501258489.A.4A7","勞基法修法","政治",0.1,0.1
"114",2017-07-29,"Re: [新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",-1,"M.1501258732.A.174","勞基法修法","政治",0.1,0.1
"115",2017-07-29,"Re: [新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",6,"M.1501258855.A.9BB","勞基法修法","政治",0.5,0.5
"116",2017-07-29,"Re: [新聞] 綠委欲修勞基法! 勞團跳腳.工總贊同",-1,"M.1501262629.A.837","勞基法修法","政治",0.1,0.1
"117",2017-07-29,"Re: [新聞] 勞動部鬆綁　外籍白領配偶今起可兼職",5,"M.1501278747.A.5DC","勞基法修法","政治",0.5,0.5
"118",2017-07-29,"Re: [新聞] 移工權益受損要陳情 勞動部竟恫嚇遣返",17,"M.1501339515.A.AB7","勞基法修法","政治",0.5,0.5
"119",2017-07-30,"Re: [新聞] 一例一休爭議 民進黨團：下會期提案修法",3,"M.1501383105.A.B31","勞基法修法","政治",0.5,0.5
"120",2017-07-30,"[問卦] 經濟低迷，勞資此時惡鬥真的好嗎？",-1,"M.1501394766.A.EF7","勞基法修法","政治",0.1,0.1
"121",2017-08-01,"[新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",-157,"M.1501594214.A.69C","勞基法修法","政治",0.1,0.1
"122",2017-08-01,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",3,"M.1501596652.A.8CF","勞基法修法","政治",0.5,0.5
"123",2017-08-01,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",12,"M.1501597341.A.00E","勞基法修法","政治",0.5,0.5
"124",2017-08-01,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",5,"M.1501597958.A.0D3","勞基法修法","政治",0.5,0.5
"125",2017-08-01,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",9,"M.1501598436.A.737","勞基法修法","政治",0.5,0.5
"126",2017-08-01,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",3,"M.1501598609.A.781","勞基法修法","政治",0.5,0.5
"127",2017-08-01,"Re: [新聞] 勞動部澄清 一例一休輔導期未結束",1,"M.1501599472.A.751","勞基法修法","政治",0.5,0.5
"128",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",0,"M.1501605956.A.15C","勞基法修法","政治",0.1,0.1
"129",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",4,"M.1501607771.A.7B2","勞基法修法","政治",0.5,0.5
"130",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",10,"M.1501633361.A.D1D","勞基法修法","政治",0.5,0.5
"131",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",4,"M.1501634554.A.EBF","勞基法修法","政治",0.5,0.5
"132",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",1,"M.1501636853.A.BCF","勞基法修法","政治",0.5,0.5
"133",2017-08-02,"Re: [新聞] 長榮勞資爭議 賀陳旦指責:空服員懈怠",3,"M.1501637700.A.06F","勞基法修法","政治",0.5,0.5
"134",2017-08-02,"[新聞] 勞資對立／工總：勞資要互諒 否則會雙輸",-10,"M.1501645024.A.546","勞基法修法","政治",0.1,0.1
"135",2017-08-04,"[新聞] 基本工資是否調整 勞動部長林美珠表態",-46,"M.1501838159.A.95C","勞基法修法","政治",0.1,0.1
"136",2017-08-06,"[問卦] 核四運轉會遵守勞基法嗎",2,"M.1502005529.A.089","勞基法修法","政治",0.5,0.5
"137",2017-08-07,"[新聞] 公務機關不開冷氣害中暑　勞動部：可申",15,"M.1502097797.A.B21","勞基法修法","政治",0.5,0.5
"138",2017-08-07,"[新聞] 遊覽車工時怎算 勞動部：準備與待命都算",3,"M.1502116178.A.66A","勞基法修法","政治",0.5,0.5
"139",2017-08-07,"Re: [新聞] 遊覽車工時怎算 勞動部：準備與待命都算",1,"M.1502117810.A.E4E","勞基法修法","政治",0.5,0.5
"140",2017-08-08,"[新聞] 一例一休修不修　勞動部長這樣說",0,"M.1502188048.A.454","勞基法修法","政治",0.1,0.1
"141",2017-08-09,"[新聞] 遊覽車駕駛工時 勞動部：準備與待命都算",0,"M.1502254403.A.FAF","勞基法修法","政治",0.1,0.1
"142",2017-08-11,"Re: [新聞] 勞動部：勞檢 勿將個案當通案",4,"M.1502410249.A.FFF","勞基法修法","政治",0.5,0.5
"143",2017-08-11,"[爆卦] 轉錄高雄版：與前雇主有違法低薪的勞資",-2,"M.1502434301.A.820","勞基法修法","政治",0.1,0.1
"144",2017-08-11,"[新聞] 一例一休將修法？　企業大老：蔡英文坦言",-1,"M.1502465974.A.2F1","勞基法修法","政治",0.1,0.1
"145",2017-08-11,"[問卦] 資方不遵守勞基法，有沒有用 ?",3,"M.1502467044.A.0B8","勞基法修法","政治",0.5,0.5
"146",2017-08-12,"[新聞] 一例一休未修法//工商團體：基本工資不宜",1,"M.1502496804.A.464","勞基法修法","政治",0.5,0.5
"147",2017-08-12,"[新聞] 一例一休修法？ 陳其邁：民進黨團將提案",-35,"M.1502505311.A.4BE","勞基法修法","政治",0.1,0.1
"148",2017-08-12,"[問卦] 提高基本薪資是台灣勞資問題的解藥嗎？",-6,"M.1502505584.A.D48","勞基法修法","政治",0.1,0.1
"149",2017-08-12,"Re: [新聞] 一例一休修法？ 陳其邁：民進黨團將提案",-20,"M.1502509099.A.40F","勞基法修法","政治",0.1,0.1
"150",2017-08-12,"Re: [新聞] 一例一休修法？ 陳其邁：民進黨團將提案",0,"M.1502511344.A.6EC","勞基法修法","政治",0.1,0.1
"151",2017-08-12,"[新聞] 一例一休修法？ 民進黨團將提案修法",-10,"M.1502529233.A.D81","勞基法修法","政治",0.1,0.1
"152",2017-08-12,"[新聞] 基本工資下周五審議　勞動部：回應社會期待",3,"M.1502546679.A.A49","勞基法修法","政治",0.5,0.5
"153",2017-08-14,"Re: [新聞] 一例一休修法？ 陳其邁：民進黨團將提案",2,"M.1502640065.A.F7B","勞基法修法","政治",0.5,0.5
"154",2017-08-14,"[新聞] 勞動部版本 基本工資擬漲5％ 時薪上看140",11,"M.1502682495.A.C9C","勞基法修法","政治",0.5,0.5
"155",2017-08-14,"[新聞] 林伯豐籲勞基法先修，再來談漲基本工資",-17,"M.1502686052.A.926","勞基法修法","政治",0.1,0.1
"156",2017-08-14,"[新聞] 基本工資調整否？勞動部：周五實質審查",0,"M.1502702586.A.F9A","勞基法修法","政治",0.1,0.1
"157",2017-08-14,"[問卦] 動保法比勞基法罰的重？",11,"M.1502707967.A.C6A","勞基法修法","政治",0.5,0.5
"158",2017-08-14,"[新聞] 爭境外漁工權益 勞團抗議：應適用勞基法",2,"M.1502711841.A.167","勞基法修法","政治",0.5,0.5
"159",2017-08-15,"[新聞] 勞動部傾向基本工資漲5%時薪上看140元",-1,"M.1502757840.A.653","勞基法修法","政治",0.1,0.1
"160",2017-08-15,"[新聞] 勞動部基本工資2方案 1 延長加班工時 2 ",-31,"M.1502759079.A.1C9","勞基法修法","政治",0.1,0.1
"161",2017-08-15,"Re: [新聞] 勞動部傾向基本工資漲5%時薪上看140元",0,"M.1502761431.A.3DF","勞基法修法","政治",0.1,0.1
"162",2017-08-15,"[新聞] 基本工資擬漲5% 勞動部澄清非事實",-8,"M.1502785042.A.668","勞基法修法","政治",0.1,0.1
"163",2017-08-15,"[新聞] 全台無預警跳電　勞動部：僱主可要求勞工",-26,"M.1502793010.A.F58","勞基法修法","政治",0.1,0.1
"164",2017-08-15,"Re: [新聞] 全台無預警跳電　勞動部：僱主可要求勞工",3,"M.1502793331.A.0FE","勞基法修法","政治",0.5,0.5
"165",2017-08-15,"Re: [新聞] 全台無預警跳電　勞動部：僱主可要求勞工",0,"M.1502793566.A.0B3","勞基法修法","政治",0.1,0.1
"166",2017-08-15,"Re: [新聞] 全台無預警跳電　勞動部：僱主可要求勞工",-1,"M.1502793774.A.BE5","勞基法修法","政治",0.1,0.1
"167",2017-08-16,"[新聞] 週五基本工資審議 勞動部長今先會勞方",2,"M.1502897903.A.E1A","勞基法修法","政治",0.5,0.5
"168",2017-08-16,"Re: [新聞] 週五基本工資審議 勞動部長今先會勞方",2,"M.1502898101.A.C07","勞基法修法","政治",0.5,0.5
"169",2017-08-18,"[新聞] 搞定勞資爭點 林美珠的真考驗",1,"M.1503019020.A.493","勞基法修法","政治",0.5,0.5
"170",2017-08-18,"[新聞] 200萬勞工加不加薪？勞動部今審基本工資",-5,"M.1503026177.A.AC6","勞基法修法","政治",0.1,0.1
"171",2017-08-18,"[新聞] 「調高基本工資傷害弱勢勞工」 工商團體撂狠話：勞動部後果",-3,"M.1503063009.A.788","勞基法修法","政治",0.1,0.1
"172",2017-08-18,"Re: [新聞] 「調高基本工資傷害弱勢勞工」 工商團體撂狠話：勞動部",1,"M.1503063942.A.C80","勞基法修法","政治",0.5,0.5
"173",2017-08-18,"Re: [新聞] 「調高基本工資傷害弱勢勞工」 工商團體撂狠話：勞動部",-2,"M.1503064054.A.2E9","勞基法修法","政治",0.1,0.1
"174",2017-08-19,"Re: [新聞] 「調高基本工資傷害弱勢勞工」 工商團體撂狠話：勞動部",-2,"M.1503072961.A.4A4","勞基法修法","政治",0.1,0.1
"175",2017-08-19,"[新聞] 200家違反勞基法被罰 裕榮食品、國登營造",7,"M.1503110808.A.700","勞基法修法","政治",0.5,0.5
"176",2017-08-19,"[新聞] 勞動部公告法務部所屬機關駕駛適用責任制",0,"M.1503141979.A.98D","勞基法修法","政治",0.1,0.1
"177",2017-08-21,"[問卦] 如果公務員適用勞基法政府會不會破產？",34,"M.1503298202.A.0E5","勞基法修法","政治",0.5,0.5
"178",2017-08-22,"[新聞] 醫師納勞基法可能跳票？ 衛福部這麼解釋",22,"M.1503371320.A.6B3","勞基法修法","政治",0.5,0.5
"179",2017-08-22,"Re: [新聞] 醫師納勞基法可能跳票？ 衛福部這麼解釋",6,"M.1503372222.A.AF4","勞基法修法","政治",0.5,0.5
"180",2017-08-22,"[ＦＢ] 洪慈庸 「醫師納入勞基法」預告跳票？",2,"M.1503373926.A.1CB","勞基法修法","政治",0.5,0.5
"181",2017-08-23,"Re: [ＦＢ] 洪慈庸 「醫師納入勞基法」預告跳票？",-5,"M.1503441681.A.4B5","勞基法修法","政治",0.1,0.1
"182",2017-08-23,"[新聞] 勞動部長放鴿子 工總：不尊重產業界",-4,"M.1503489639.A.869","勞基法修法","政治",0.1,0.1
"183",2017-08-25,"[問卦] 為什麼國高中生不納入勞基法彙編",3,"M.1503661301.A.641","勞基法修法","政治",0.5,0.5
"184",2017-08-29,"[新聞] 李新舉發立法院不斷電審前瞻違勞基法",-9,"M.1504004233.A.3AC","勞基法修法","政治",0.1,0.1
"185",2017-09-02,"[新聞] 柯P酸一例一休成不了大人物 勞動部這樣回",2,"M.1504347380.A.57B","勞基法修法","政治",0.5,0.5
"186",2017-09-02,"[新聞] 勞動部：工時減少是否影響成就 值得深思",-5,"M.1504348032.A.386","勞基法修法","政治",0.1,0.1
